makh,ngaydathangdautien,tenkh,version,matp
183,2020-06-14 07:48:17.959000,Georgina Veum,0,15
184,2024-05-19 20:34:41.515000,Jeffry Carroll Sr.,0,15
185,2021-11-28 00:20:33.588000,Perry Hoppe,0,15
186,2023-11-19 16:26:59.573000,Leroy Roob,0,15
187,2024-01-13 12:16:36.551000,Eboni Leannon DDS,0,15
188,2022-02-06 02:01:36.944000,Chester Berge III,0,15
189,2023-02-18 09:33:20.341000,Spencer Stokes,0,15
190,2022-11-20 08:23:49.064000,Ebonie Weber,0,15
191,2021-03-31 10:05:07.291000,Hal Hand,0,15
192,2024-09-22 08:28:11.892000,Mr. Jame Kovacek,0,15
193,2021-03-06 04:54:14.647000,Enid Gorczany,0,15
194,2022-09-27 02:39:35.878000,Mary Paucek,0,15
195,2023-11-26 04:41:07.086000,Julius Champlin,0,15
196,2022-09-13 00:20:04.375000,Jerri Tromp,0,15
197,2023-07-04 01:03:01.996000,Cortez Douglas I,0,15
198,2024-11-21 09:28:17.644000,Mrs. Phyllis Mraz,0,15
199,2020-05-26 05:18:50.263000,Porter Boyle,0,15
200,2023-04-30 14:12:45.012000,Francina Labadie,0,15
201,2023-07-30 23:15:30.733000,Asa Collins,0,15
202,2021-03-27 17:45:36.797000,Alan Parisian,0,15
203,2020-03-25 12:22:33.563000,Nydia Lynch,0,15
204,2021-04-11 20:02:43.228000,Cletus Bartell,0,15
205,2024-05-11 22:02:51.402000,Shin Nikolaus DVM,0,15
206,2020-10-20 16:06:45.615000,Golden Luettgen,0,15
207,2022-01-30 08:35:59.764000,Buck Batz,0,15
208,2024-05-11 17:23:36.633000,Miss Alfonzo Sauer,0,15
209,2023-07-24 17:08:43.080000,Ms. Dylan Steuber,0,15
210,2020-09-26 15:43:49.747000,Florentino Mueller,0,15
211,2020-06-04 11:43:11.714000,Scotty Breitenberg,0,15
212,2022-01-06 04:24:09.710000,Mrs. Foster Johns,0,15
213,2020-07-30 05:46:27.714000,Ozzie Funk V,0,15
214,2023-08-29 03:45:22.489000,Lorelei Mayert,0,15
215,2023-05-28 18:58:10.360000,Abdul Legros,0,15
216,2023-11-06 12:00:53.215000,Mr. April Schowalter,0,15
217,2024-09-07 09:11:20.231000,Gaye Cummerata DDS,0,15
218,2022-09-05 08:29:59.147000,Mrs. Leesa Dickinson,0,15
219,2021-07-31 21:11:35.380000,Tyler Erdman,0,15
220,2024-09-10 16:00:33.592000,Ricky Heidenreich,0,15
221,2020-07-02 14:25:29.948000,Deandra Funk,0,15
222,2024-01-10 13:52:02.941000,Suzan Bins,0,15
223,2023-03-31 20:41:14.408000,Jimmy Satterfield,0,15
224,2023-05-13 20:38:34.550000,Jennefer DuBuque,0,15
225,2020-12-27 01:03:37.938000,Juana Ryan,0,15
226,2024-12-12 20:51:38.167000,Audrey Connelly IV,0,15
227,2024-04-01 02:58:40.133000,Mr. Zachery Keeling,0,15
228,2022-07-01 18:45:08.320000,Alfredo Doyle III,0,15
229,2024-01-14 13:50:13.373000,Emilio Schultz,0,15
230,2021-06-18 08:04:23.092000,Iris Deckow,0,15
231,2020-08-12 16:05:23.016000,Hollis Bernhard,0,15
232,2021-12-20 01:29:07.295000,Jerrell Crooks,0,15
233,2022-06-25 03:18:30.010000,Lavern Spinka Jr.,0,15
234,2023-12-22 17:21:27.804000,Terrilyn Schuppe,0,15
235,2022-02-07 17:25:18.721000,Marissa Fisher,0,15
236,2021-02-27 17:57:56.902000,Mitzie Nader,0,15
237,2023-03-15 05:51:50.333000,Damon Cummerata,0,15
238,2023-10-08 14:47:30.263000,Janene Weber,0,15
239,2022-06-27 04:52:05.040000,Marty Hegmann,0,15
240,2021-12-19 12:10:04.369000,Lu Larkin,0,15
241,2020-05-20 01:33:09.046000,Dorinda Veum,0,15
242,2021-02-02 18:35:30.475000,Tom Kuhlman,0,15
243,2023-06-28 21:45:13.321000,Jim Lueilwitz,0,15
244,2024-12-31 19:56:47.151000,Hilaria Bruen,0,15
245,2020-04-16 13:34:20.994000,Etsuko Davis,0,15
246,2023-10-31 09:17:37.634000,Dr. Ja Dietrich,0,15
247,2020-08-16 11:10:01.241000,Marquis Wehner,0,15
248,2020-07-26 03:02:44.543000,Jacquelynn Tremblay MD,0,15
249,2024-01-03 13:48:33.481000,Millicent Ratke,0,15
250,2022-07-21 23:11:22.714000,Shanda Runolfsdottir,0,15
251,2020-01-26 11:06:14.118000,Tawanna Haag,0,15
252,2020-01-21 13:07:34.809000,Johnson Davis,0,15
253,2020-06-23 17:47:20.533000,Mr. Elvia Parker,0,15
254,2020-12-06 19:30:44.526000,Ranee Goyette,0,15
255,2021-08-02 20:19:34.993000,Mitchel Hagenes Jr.,0,15
256,2022-11-27 01:42:50.292000,Kyra O'Keefe,0,15
257,2022-11-28 20:58:07.525000,Paola Stehr,0,15
258,2021-02-12 01:36:09.604000,Dwayne Greenfelder,0,15
259,2023-10-24 05:46:04.143000,Keven Green IV,0,15
260,2020-12-23 10:55:51.945000,Miss Detra Lakin,0,15
261,2020-01-20 01:31:26.317000,Robert Waters,0,15
262,2020-09-09 16:46:04.250000,Lona Spencer,0,15
263,2021-02-21 16:14:06.146000,Dimple Barrows,0,15
264,2021-06-27 22:06:54.001000,Mr. Darrick Herzog,0,15
265,2023-03-31 00:52:53.106000,Lyndon Quigley,0,15
266,2024-08-24 18:19:01.585000,Miss Junior Schroeder,0,15
267,2020-03-21 08:44:59.000000,Joe Herzog DDS,0,15
268,2023-01-02 20:36:40.175000,Elisha Keebler,0,15
269,2024-12-07 14:48:11.426000,Carlton Kirlin Jr.,0,15
270,2021-05-04 00:13:08.392000,Susie Anderson IV,0,15
271,2024-04-19 15:42:34.080000,Marcel Purdy,0,15
272,2022-02-12 10:38:07.280000,Leandro Fisher,0,15
273,2024-01-02 01:32:41.210000,Camila Roberts Jr.,0,15
274,2022-05-12 02:23:16.631000,Dr. Miguel O'Hara,0,15
275,2024-08-01 15:10:21.769000,Claretha Kuvalis DVM,0,15
276,2024-12-09 23:39:04.166000,Anderson Kunze V,0,15
277,2023-03-05 14:00:20.904000,Agnus Heaney,0,15
278,2022-12-20 19:17:23.133000,Matilda Konopelski,0,15
279,2023-09-23 17:19:47.284000,Miss Hyun Brakus,0,15
280,2020-08-06 11:48:16.207000,Mrs. Andreas Harber,0,15
281,2022-01-29 06:12:49.430000,Erin Cummerata,0,15
282,2023-05-05 14:41:33.865000,Diane Hauck,0,15
283,2022-10-29 03:44:13.578000,Miss Milford Streich,0,15
284,2024-02-14 17:11:42.239000,Wesley Davis,0,15
285,2022-09-14 02:20:42.353000,Kate Corkery,0,15
286,2022-11-13 15:11:46.427000,Mr. Patience Johnson,0,15
287,2024-02-25 22:39:29.212000,Celestine Stroman,0,15
288,2023-02-25 07:09:04.617000,Fredericka Hegmann,0,15
289,2024-12-05 06:31:12.566000,Ned Parker,0,15
290,2020-02-11 05:15:35.979000,Daisy Hodkiewicz,0,15
291,2023-12-20 21:56:37.955000,Herbert MacGyver I,0,15
292,2020-01-20 22:40:09.273000,Heriberto Veum II,0,15
293,2021-01-22 10:00:45.777000,Ben Shanahan,0,15
294,2020-06-08 08:27:33.366000,Benedict Legros,0,15
295,2021-03-07 23:28:32.807000,Lucina Hagenes,0,15
296,2021-12-22 19:36:46.868000,Hipolito Miller,0,15
297,2024-02-15 06:38:13.881000,Ms. Bernardo Kling,0,15
298,2023-06-27 09:53:59.481000,Miss Predovic,0,15
299,2022-06-01 04:28:26.278000,Tilda Johns,0,15
300,2020-01-14 15:39:39.281000,Dr. Shala Lueilwitz,0,15
301,2021-04-12 17:29:31.110000,Darell Lehner,0,15
302,2022-09-20 07:55:30.772000,Mitchel Funk,0,15
303,2021-08-24 03:24:11.322000,Dr. Nita Blanda,0,15
304,2023-05-27 11:32:13.675000,Samantha Glover,0,15
305,2020-06-01 17:43:32.052000,Porfirio Cormier,0,15
306,2021-09-06 11:22:24.347000,Ms. Solomon Davis,0,15
307,2020-02-01 01:42:36.256000,Fausto Hand I,0,15
308,2022-03-20 21:59:03.021000,Chang Konopelski,0,15
309,2021-07-24 12:15:09.550000,Annamarie Oberbrunner PhD,0,15
310,2023-08-14 07:48:44.627000,Reinaldo Kilback,0,15
311,2023-09-24 12:33:59.007000,Mr. Bessie Ratke,0,15
312,2023-12-01 16:53:14.329000,Ronny Nitzsche,0,15
313,2022-02-06 04:57:08.366000,Mrs. Shanti Aufderhar,0,15
314,2021-02-26 16:58:51.931000,Betsey Wintheiser,0,15
315,2020-10-01 19:58:13.694000,Alphonse Bartell,0,15
316,2020-02-26 15:49:20.715000,Mitch Dicki IV,0,15
317,2020-09-12 01:33:10.326000,Haydee Bergnaum,0,15
318,2022-03-01 08:33:09.272000,Greg Buckridge,0,15
319,2024-06-13 13:00:02.587000,Robbie Reichel DVM,0,15
320,2021-01-09 01:09:12.590000,Ladonna Schinner,0,15
321,2023-09-10 00:06:28.922000,Mr. Irene Little,0,15
322,2022-08-15 02:37:21.649000,Frank Bahringer,0,15
323,2020-05-26 04:49:00.969000,Mr. Isaac O'Hara,0,15
324,2021-05-25 05:44:15.224000,Velvet Stehr,0,15
325,2022-07-08 18:40:37.660000,Osvaldo Bode,0,15
326,2024-03-08 02:47:33.483000,Twila Kris V,0,15
327,2020-03-24 12:47:24.896000,Rosendo Strosin,0,15
328,2023-12-14 09:49:33.246000,Tod Hessel,0,15
329,2020-09-30 16:21:38.823000,Sid Bernier,0,15
330,2022-02-19 02:54:48.677000,Elvira Cronin,0,15
331,2024-11-18 21:43:47.942000,Nathanial Dare,0,15
332,2024-07-17 14:55:03.268000,Tyisha Schneider,0,15
333,2024-09-21 09:23:28.352000,Olen Torphy,0,15
334,2024-10-21 23:02:19.247000,Mr. Bobbie Larkin,0,15
335,2020-06-24 07:45:59.977000,Gilbert Carroll,0,15
336,2022-08-26 06:12:21.772000,Felipe McCullough,0,15
337,2020-05-06 05:09:38.584000,Eric Stamm,0,15
338,2022-06-13 00:18:24.100000,Eddy VonRueden,0,15
339,2022-05-17 08:38:01.770000,Jacques Murazik,0,15
340,2020-10-02 18:45:39.052000,Fanny Howe IV,0,15
341,2021-06-11 10:26:29.772000,Andre Carter,0,15
342,2024-10-14 07:46:53.281000,Adan Waelchi,0,15
343,2022-03-21 00:50:39.930000,Mario Fay II,0,15
344,2021-01-14 10:01:45.840000,Adelia Terry,0,15
345,2020-08-08 13:05:45.595000,Onita Kuhic,0,15
346,2022-08-30 03:55:36.978000,Delinda Little III,0,15
347,2021-03-01 05:41:54.326000,Armand Kutch,0,15
348,2021-09-07 04:19:21.397000,Philip Schmidt PhD,0,15
349,2020-07-15 11:15:24.803000,Rudy Olson Jr.,0,15
350,2021-08-20 04:14:35.177000,Roderick Abernathy,0,15
351,2024-01-20 13:19:31.124000,Miss Merlyn Hills,0,15
352,2021-06-14 09:04:48.497000,Cynthia Kulas,0,15
353,2021-02-20 08:34:57.400000,Natashia Stracke IV,0,15
354,2024-07-24 02:57:48.192000,Reinaldo Schaefer,0,15
355,2021-08-02 06:59:02.107000,Miss Shad Heidenreich,0,15
356,2023-09-04 21:32:28.277000,Mr. Ula Cremin,0,15
357,2021-08-01 04:15:13.990000,Lloyd Ullrich V,0,15
358,2020-04-28 19:09:31.864000,Ciera Ebert,0,15
359,2021-08-24 00:09:34.653000,Alvaro Beer,0,15
360,2024-04-28 07:23:57.098000,Dr. Pansy Bruen,0,15
361,2021-01-24 18:27:15.580000,Monty Bartell,0,15
362,2020-10-22 09:23:22.755000,Mark Leannon,0,15
363,2022-06-24 12:32:41.992000,Winston Botsford,0,15
364,2022-01-31 19:53:01.126000,Levi Schoen I,0,15
365,2022-04-14 21:13:01.590000,Patrick Dickens,0,15
366,2020-02-24 18:56:11.674000,Glory Schmitt,0,15
367,2024-04-18 22:59:25.020000,Siobhan Graham,0,15
368,2024-05-19 06:12:15.678000,Alexandra Purdy,0,15
369,2020-11-06 01:36:03.043000,Nicol Brakus,0,15
370,2022-04-30 01:21:29.920000,Amparo Lockman,0,15
371,2023-09-21 23:07:41.322000,Mr. Grant Walter,0,15
372,2023-12-12 14:54:41.857000,Madelaine Kemmer,0,15
373,2020-08-18 16:52:02.173000,Gonzalo Runte,0,15
374,2020-04-04 01:01:45.030000,Verda Wilderman,0,15
375,2021-06-02 10:39:51.193000,Mrs. Filiberto Metz,0,15
376,2020-06-06 07:16:11.525000,Ken Beatty I,0,15
377,2022-07-15 17:06:49.887000,Kira Kuhic,0,15
378,2024-01-08 17:09:56.569000,Luther Langworth,0,15
379,2024-04-14 01:38:43.512000,Refugio Jenkins,0,15
380,2022-12-23 20:42:17.889000,Fallon Willms Jr.,0,15
381,2020-01-29 17:15:28.061000,Ron Kuhlman,0,15
382,2020-10-19 11:39:05.716000,Miss Hoyt Ortiz,0,15
383,2022-12-03 19:57:21.881000,Kaci Hudson,0,15
384,2022-03-01 01:47:05.654000,Dr. Leroy Crona,0,15
385,2024-08-11 00:59:20.970000,Romaine Mohr,0,15
386,2023-10-22 08:02:48.893000,Leisa Nitzsche,0,15
387,2022-01-29 07:42:27.344000,Ms. Giovanni Trantow,0,15
388,2020-10-26 18:21:54.492000,Mr. Lanelle Jones,0,15
389,2022-05-16 05:31:44.225000,Mrs. Britt Parker,0,15
390,2022-03-10 12:11:46.556000,Miss Jolynn Barrows,0,15
391,2024-06-05 08:12:32.616000,Chad Toy Sr.,0,15
392,2021-10-01 19:43:09.700000,Ms. Liane Yost,0,15
393,2020-04-04 19:23:55.939000,Matthew Rohan,0,15
394,2021-01-20 10:21:20.340000,Bernetta Waters I,0,15
395,2020-11-14 16:12:11.527000,Haywood Pagac,0,15
396,2023-02-11 18:16:47.551000,Enrique Thompson,0,15
397,2021-11-18 17:37:13.115000,Olene Bradtke MD,0,15
398,2021-10-27 23:06:29.520000,Olin Welch,0,15
399,2023-12-05 13:54:45.888000,Mr. Deanne Witting,0,15
400,2022-06-12 12:32:40.023000,Ellsworth Graham,0,15
401,2024-01-21 00:49:53.779000,Kimbery Hauck,0,15
402,2022-10-02 07:13:12.957000,Erich Muller,0,15
403,2023-05-24 05:04:02.761000,Broderick Klein II,0,15
404,2023-04-03 23:23:52.781000,Winfred Sporer,0,15
405,2023-11-04 00:21:44.274000,Miss Lavonda Mills,0,15
406,2020-05-04 13:37:24.107000,Marylin Nader III,0,15
408,2023-12-12 11:51:42.373000,Lin Erdman,0,16
409,2022-10-30 17:58:26.100000,Maranda Jones I,0,16
410,2024-06-28 02:34:13.441000,Faye Bauch,0,16
411,2020-06-14 15:34:26.573000,Peg Marquardt,0,16
412,2024-05-21 01:36:28.618000,Daryl Rogahn,0,16
413,2021-01-04 22:48:40.529000,Alec Lemke,0,16
414,2022-12-17 09:19:23.213000,Claude Jenkins,0,16
415,2022-05-12 22:24:43.128000,Orval Anderson,0,16
416,2022-12-26 16:55:19.791000,Mrs. Lakesha Kuhlman,0,16
417,2024-06-15 01:34:59.476000,Elias Lynch,0,16
418,2020-12-16 03:46:46.319000,Ethel Moen,0,16
419,2023-04-17 20:18:32.074000,Miss Gerardo Rohan,0,16
420,2020-05-25 00:24:35.880000,Ms. Yuki Schmidt,0,16
421,2021-05-09 06:05:50.094000,Shelly Kemmer,0,16
422,2020-03-30 13:13:10.956000,Quintin Marquardt,0,16
423,2020-10-02 21:55:26.375000,Adam Padberg,0,16
424,2021-05-18 15:06:12.779000,Vicki Torphy I,0,16
425,2022-07-02 13:30:57.426000,Loren Haag,0,16
426,2022-12-25 19:01:28.327000,Jaime Borer II,0,16
427,2023-07-26 05:44:01.610000,Darron Tromp,0,16
428,2020-12-12 02:35:39.582000,Jayme Nader,0,16
429,2022-09-18 02:31:42.294000,Serina Schuppe MD,0,16
430,2022-02-27 14:35:49.225000,Taylor Pagac,0,16
431,2023-05-11 15:11:48.148000,Nan Paucek,0,16
432,2020-11-14 14:46:06.587000,Clement Wilkinson,0,16
433,2024-07-24 16:45:18.195000,Deadra Dibbert V,0,16
434,2021-08-29 20:33:49.770000,Assunta Lebsack DDS,0,16
435,2024-08-27 04:10:04.622000,Joeann Schamberger,0,16
436,2023-12-19 20:33:07.731000,Royal Carroll,0,16
437,2024-04-27 21:49:30.672000,Mr. Roslyn Lang,0,16
438,2020-04-15 09:31:39.017000,Wilfredo Wisozk,0,16
439,2021-12-02 06:48:29.769000,Dr. Ernestina Emmerich,0,16
440,2024-04-25 21:53:49.834000,Shamika Lemke,0,16
441,2021-08-10 04:26:50.144000,Jerrell Schaden II,0,16
